# time_unit: years
# unit: mm
# scale: 1
# column_names: ymd up
# columns_index: 0 1
# index_cols: ymd
# index_formats: %Y-%m-%d
2010-11-05 -22.44
2010-11-06 -16.82
2010-11-07 -18.29
2010-11-08 -19.31
2010-11-09 -22.09
2010-11-10 -12.90
2010-11-11 -13.73
2010-11-12 -13.49
2010-11-13 -17.01
2010-11-14 -19.08
2010-11-15 -15.52
2010-11-16 -14.52
2010-11-17 -11.35
2010-11-18 -11.33
2010-11-19 -12.54
2010-11-20 -6.71
2010-11-21 -5.30
2010-11-22 -12.05
2010-11-23 -11.14
2010-11-24 -10.93
2010-11-25 -16.50
2010-11-26 -8.53
2010-11-27 -9.38
2010-11-28 -16.71
2010-11-29 -12.27
2010-11-30 -2.67
2010-12-01 -10.46
2010-12-02 -16.67
2010-12-03 -9.33
2010-12-04 -0.73
2010-12-05 -2.15
2010-12-06 -1.11
2010-12-07 -2.03
2010-12-08 -1.02
2010-12-09 -2.35
2010-12-10 4.08
2010-12-11 6.47
2010-12-12 0.54
2010-12-13 -7.65
2010-12-14 -0.39
2010-12-15 -0.86
2010-12-16 -0.99
2010-12-17 -2.63
2010-12-18 -3.92
2010-12-19 -7.27
2010-12-20 -6.21
2010-12-21 -6.99
2010-12-22 -9.10
2010-12-23 0.11
2010-12-24 -1.99
2010-12-25 -3.83
2010-12-26 -2.49
2010-12-27 2.25
2010-12-28 -0.20
2010-12-29 -0.38
2010-12-30 0.58
2010-12-31 4.69
2011-01-01 -0.23
2011-01-02 -5.85
2011-01-03 -5.75
2011-01-04 1.91
2011-01-05 -1.74
2011-01-06 -3.88
2011-01-07 -0.42
2011-01-08 -2.38
2011-01-09 -1.21
2011-01-10 4.82
2011-01-11 7.86
2011-01-12 5.12
2011-01-13 -0.74
2011-01-14 -1.28
2011-01-15 3.99
2011-01-16 2.96
2011-01-17 -0.62
2011-01-18 -0.14
2011-01-19 -1.21
2011-01-20 1.79
2011-01-21 -3.57
2011-01-22 0.69
2011-01-23 -0.06
2011-01-24 -0.34
2011-01-25 -0.17
2011-01-26 -0.29
2011-01-27 0.61
2011-01-28 2.47
2011-01-29 1.91
2011-01-30 0.77
2011-01-31 4.29
2011-02-01 -0.15
2011-02-03 -3.05
2011-02-04 -0.94
2011-02-05 1.69
2011-02-06 4.73
2011-02-08 8.45
2011-02-09 6.00
2011-02-10 1.21
2011-02-11 5.65
2011-02-12 5.71
2011-02-13 3.86
2011-02-14 3.20
2011-02-15 1.85
2011-02-16 -1.64
2011-02-17 13.00
2011-02-18 1.50
2011-02-19 -0.37
2011-02-20 1.55
2011-02-21 -1.89
2011-02-22 2.80
2011-02-23 0.69
2011-02-24 7.40
2011-02-25 7.59
2011-02-26 11.29
2011-02-27 6.78
2011-02-28 4.65
2011-03-01 10.52
2011-03-02 9.64
2011-03-03 5.15
2011-03-04 10.22
2011-03-05 0.14
2011-03-06 4.78
2011-03-07 2.47
2011-03-08 7.98
2011-03-09 4.13
2011-03-10 4.08
2011-03-11 5.41
2011-03-12 -1.89
2011-03-13 2.15
2011-03-14 -2.61
2011-03-15 -5.78
2011-03-16 -2.52
2011-03-17 1.77
2011-03-18 0.45
2011-03-19 3.02
2011-03-20 -0.50
2011-03-21 0.17
2011-03-22 0.17
2011-03-23 -7.02
2011-03-24 -8.22
2011-03-25 1.88
2011-03-26 -4.43
2011-03-27 -7.39
2011-03-28 -4.85
2011-03-29 -6.01
2011-03-30 -11.88
2011-03-31 -4.46
2011-04-01 -6.83
2011-04-02 -4.83
2011-04-03 -0.98
2011-04-04 -4.67
2011-04-05 -2.27
2011-04-06 -13.90
2011-04-07 -8.38
2011-04-08 -18.94
2011-04-09 -7.65
2011-04-10 -6.43
2011-04-11 -9.06
2011-04-12 -10.41
2011-04-13 0.88
2011-04-14 3.47
2011-04-15 3.30
2011-04-16 -3.09
2011-04-17 1.02
2011-04-18 -2.26
2011-04-19 -0.67
2011-04-20 -0.92
2011-04-21 0.28
2011-04-22 -6.11
2011-04-23 -13.44
2011-04-24 -3.76
2011-04-25 -9.94
2011-04-26 -5.46
2011-04-27 -0.01
2011-04-28 7.38
2011-04-29 -3.03
2011-04-30 -4.49
2011-05-01 -9.89
2011-05-02 -10.75
2011-05-03 11.66
2011-05-04 -8.51
2011-05-05 2.91
2011-05-06 -5.13
2011-05-07 2.67
2011-05-08 -0.18
2011-05-09 3.58
2011-05-10 4.38
2011-05-11 -2.30
2011-05-12 -3.68
2011-05-13 0.69
2011-05-14 3.00
2011-05-15 -3.46
2011-05-16 -3.49
2011-05-17 -3.44
2011-05-18 3.70
2011-05-19 4.49
2011-05-20 -4.05
2011-05-21 -3.73
2011-05-22 4.51
2011-05-23 2.24
2011-05-24 6.59
2011-05-25 -0.18
2011-05-26 2.78
2011-05-27 -6.20
2011-05-28 -0.16
2011-05-29 -5.91
2011-05-30 2.62
2011-05-31 -6.23
2011-06-01 8.01
2011-06-02 -7.91
2011-06-03 -8.48
2011-06-04 -3.58
2011-06-05 3.89
2011-06-06 -2.06
2011-06-07 0.85
2011-06-08 1.58
2011-06-09 -0.60
2011-06-10 4.94
2011-06-11 1.47
2011-06-12 5.65
2011-06-13 4.10
2011-06-14 2.95
2011-06-15 -3.07
2011-06-16 -4.47
2011-06-17 1.42
2011-06-18 0.17
2011-06-19 3.97
2011-06-20 -4.78
2011-06-21 -3.41
2011-06-22 -4.01
2011-06-23 1.64
2011-06-24 0.87
2011-06-25 0.90
2011-06-26 0.55
2011-06-27 -0.45
2011-06-28 -3.87
2011-06-29 -10.07
2011-06-30 -3.61
2011-07-01 -12.07
2011-07-02 -5.17
2011-07-03 -5.60
2011-07-04 -5.33
2011-07-05 -8.18
2011-07-06 -2.65
2011-07-07 -9.86
2011-07-08 3.70
2011-07-09 6.43
2011-07-10 -1.73
2011-07-11 -2.01
2011-07-12 3.48
2011-07-13 -0.27
2011-07-14 -7.09
2011-07-15 -6.79
2011-07-16 -4.90
2011-07-17 -3.37
2011-07-18 -0.79
2011-07-19 -8.77
2011-07-20 -2.88
2011-07-22 -13.20
2011-07-23 -9.77
2011-07-24 -7.17
2011-07-25 -10.78
2011-07-26 -8.13
2011-07-27 -1.05
2011-08-01 -17.16
2011-08-02 -11.56
2011-08-03 -15.98
2011-08-04 -8.60
2011-08-05 -5.92
2011-08-06 -11.14
2011-08-07 -18.34
2011-08-08 -9.15
2011-08-09 -6.58
2011-08-10 -5.56
2011-08-11 -8.88
2011-08-12 -8.73
2011-08-13 -12.60
2011-08-14 -9.49
2011-08-15 -23.02
2011-08-16 -3.05
2011-08-19 -11.99
2011-08-20 -17.88
2011-08-23 -17.27
2011-08-24 -19.22
2011-08-25 -13.72
2011-08-26 -12.17
2011-08-27 -16.68
2011-08-28 -14.85
2011-08-29 -21.69
2011-08-30 -18.25
2011-08-31 -14.91
2011-09-01 -16.47
2011-09-02 -17.80
2011-09-03 -8.95
2011-09-06 -25.04
2011-09-07 -20.00
2011-09-08 -22.63
2011-09-09 -10.44
2011-09-13 -11.05
2011-09-14 -16.25
2011-09-15 -14.61
2011-09-16 -19.73
2011-09-17 -19.30
2011-09-18 -14.68
2011-09-19 -16.34
2011-09-20 -20.67
2011-09-21 -23.28
2011-09-22 -12.79
2011-09-23 -21.45
2011-09-24 -20.54
2011-09-25 -24.03
2011-09-26 -17.11
2011-09-27 -13.48
2011-09-28 -13.70
2011-09-29 -17.09
2011-09-30 -18.52
2011-10-01 -19.47
2011-10-02 -24.22
2011-10-03 -19.33
2011-10-04 -18.34
2011-10-05 -22.24
2011-10-06 -20.14
2011-10-07 -19.27
2011-10-08 -22.62
2011-10-09 -24.96
2011-10-10 -26.03
2011-10-12 -29.63
2011-10-13 -20.22
2011-10-14 -13.24
2011-10-15 -27.37
2011-10-16 -21.25
2011-10-17 -20.32
2011-10-18 -19.02
2011-10-19 -22.52
2011-10-20 -21.85
2011-10-21 -23.89
2011-10-22 -26.60
2011-10-23 -18.73
2011-10-24 -18.37
2011-10-25 -15.44
2011-10-26 -17.27
2011-10-27 -20.54
2011-10-28 -17.10
2011-10-29 -22.80
2011-10-31 -28.91
2011-11-01 -24.34
2011-11-02 -17.73
2011-11-03 -18.24
2011-11-04 -17.21
2011-11-05 -17.31
2011-11-06 -14.05
2011-11-07 -18.69
2011-11-08 -22.21
2011-11-09 -16.35
2011-11-10 -20.40
2011-11-11 -18.43
2011-11-12 -13.51
2011-11-13 -15.71
2011-11-14 -20.50
2011-11-15 -19.07
2011-11-16 -14.25
2011-11-17 -11.16
2011-11-18 -4.32
2011-11-19 -10.84
2011-11-20 -10.37
2011-11-21 -14.27
2011-11-22 -16.75
2011-11-23 -12.16
2011-11-24 -10.17
2011-11-25 -12.31
2011-11-26 -12.85
2011-11-27 -11.76
2011-11-28 -11.20
2011-11-29 -10.99
2011-11-30 -3.82
2011-12-01 -8.68
2011-12-02 -8.81
2011-12-05 -13.39
2011-12-06 -6.75
2011-12-07 -2.92
2011-12-08 -7.01
2011-12-09 -9.58
2011-12-10 -9.65
2011-12-11 -15.00
2011-12-12 -5.21
2011-12-13 -10.41
2011-12-14 -11.83
2011-12-15 -8.80
2011-12-16 -5.77
2011-12-17 -5.75
2011-12-18 -4.03
2011-12-19 -1.53
2011-12-20 -3.90
2011-12-21 -6.96
2011-12-22 -9.37
2011-12-23 -4.81
2011-12-24 -3.31
2011-12-25 -5.63
2011-12-26 -8.02
2011-12-27 -4.59
2011-12-28 -9.04
2011-12-29 -10.58
2011-12-30 -12.15
2011-12-31 -8.63
2012-01-01 -7.47
2012-01-02 -4.85
2012-01-03 -3.42
2012-01-04 -3.04
2012-01-05 -8.27
2012-01-06 -5.62
2012-01-07 -4.82
2012-01-08 -6.39
2012-01-09 -4.18
2012-01-10 -3.33
2012-01-11 -2.62
2012-01-12 -10.01
2012-01-13 -8.53
2012-01-14 -5.68
2012-01-15 -2.19
2012-01-16 2.63
2012-01-17 6.05
2012-01-18 1.13
2012-01-19 3.16
2012-01-20 -1.06
2012-01-21 4.63
2012-01-22 1.24
2012-01-23 0.24
2012-01-24 0.92
2012-01-25 -2.86
2012-01-26 0.33
2012-01-27 3.99
2012-01-28 4.83
2012-01-29 2.55
2012-01-30 -1.08
2012-01-31 1.91
2012-02-01 -1.38
2012-02-02 2.43
2012-02-03 0.30
2012-02-04 -2.14
2012-02-05 2.00
2012-02-06 9.80
2012-02-07 4.95
2012-02-08 6.07
2012-02-09 1.52
2012-02-10 1.69
2012-02-11 2.14
2012-02-12 -2.38
2012-02-13 0.18
2012-02-14 6.67
2012-02-15 1.10
2012-02-16 2.70
2012-02-17 6.74
2012-02-18 6.71
2012-02-19 4.60
2012-02-20 7.75
2012-02-21 1.94
2012-02-22 4.79
2012-02-23 2.14
2012-02-24 2.41
2012-02-25 4.16
2012-02-26 7.36
2012-02-27 2.14
2012-02-28 8.38
2012-02-29 0.24
2012-03-01 1.61
2012-03-02 0.17
2012-03-03 -4.63
2012-03-04 1.07
2012-03-05 4.50
2012-03-06 5.10
2012-03-07 3.65
2012-03-08 5.24
2012-03-09 -1.36
2012-03-10 0.66
2012-03-11 -11.07
2012-03-12 -7.70
2012-03-13 -10.29
2012-03-14 -7.50
2012-03-15 -5.13
2012-03-16 0.96
2012-03-17 2.27
2012-03-18 2.57
2012-03-19 -0.08
2012-03-20 4.85
2012-03-21 1.96
2012-03-22 1.57
2012-03-23 4.29
2012-03-24 -4.28
2012-03-25 1.36
2012-03-26 -4.08
2012-03-27 -1.23
2012-03-28 0.66
2012-03-29 5.92
2012-03-30 4.19
2012-03-31 6.31
2012-04-01 -4.78
2012-04-02 -0.61
2012-04-03 6.22
2012-04-04 2.18
2012-04-05 -1.38
2012-04-06 -0.15
2012-04-09 0.49
2012-04-10 -4.46
2012-04-11 5.38
2012-04-12 0.52
2012-04-13 7.54
2012-04-14 6.85
2012-04-15 4.84
2012-04-16 -1.43
2012-04-17 1.96
2012-04-18 4.37
2012-04-19 3.31
2012-04-20 4.56
2012-04-21 4.26
2012-04-22 -0.30
2012-04-23 -0.25
2012-04-24 8.08
2012-04-25 2.52
2012-04-26 8.71
2012-04-27 11.40
2012-04-28 7.47
2012-04-29 1.03
2012-04-30 3.29
2012-05-01 2.66
2012-05-02 2.84
2012-05-03 10.39
2012-05-04 2.08
2012-05-05 4.95
2012-05-07 -0.85
2012-05-08 4.85
2012-05-09 6.25
2012-05-10 2.67
2012-05-11 8.31
2012-05-12 6.71
2012-05-13 15.51
2012-05-14 4.42
2012-05-15 10.05
2012-05-16 12.17
2012-05-17 11.05
2012-05-18 4.96
2012-05-19 17.48
2012-05-20 5.15
2012-05-21 6.05
2012-05-22 14.11
2012-05-23 5.61
2012-05-24 10.31
2012-05-25 9.85
2012-05-26 8.31
2012-05-27 9.10
2012-05-28 15.34
2012-05-29 6.14
2012-05-30 5.69
2012-05-31 2.74
2012-06-03 3.57
2012-06-04 -1.99
2012-06-05 6.63
2012-06-06 2.97
2012-06-07 4.49
2012-06-08 4.84
2012-06-09 6.91
2012-06-10 6.05
2012-06-13 -1.23
2012-06-14 2.19
2012-06-15 4.54
2012-06-16 4.66
2012-06-17 1.55
2012-06-18 3.80
2012-06-19 4.46
2012-06-20 1.03
2012-06-21 -2.12
2012-06-22 2.81
2012-06-23 3.41
2012-06-24 5.64
2012-06-25 -0.24
2012-06-27 4.90
2012-06-28 0.14
2012-06-29 1.51
2012-06-30 7.09
2012-07-01 -1.01
2012-07-02 3.04
2012-07-03 -15.02
2012-07-04 -8.98
2012-07-05 0.54
2012-07-06 5.24
2012-07-07 12.73
2012-07-08 -2.74
2012-07-09 1.40
2012-07-10 4.25
2012-07-11 -2.92
2012-07-12 -2.65
2012-07-13 -7.42
2012-07-14 -3.96
2012-07-15 -4.99
2012-07-16 -1.83
2012-07-17 -8.72
2012-07-18 -7.90
2012-07-20 -8.45
2012-07-22 -5.22
2012-07-24 0.76
2012-07-25 -11.88
2012-07-26 -11.88
2012-07-27 -13.54
2012-07-28 -10.55
2012-07-29 -7.54
2012-07-30 -6.12
2012-07-31 -9.37
2012-08-01 -11.41
2012-08-02 -11.75
2012-08-03 -19.23
2012-08-04 -9.34
2012-08-05 -21.91
2012-08-06 -14.03
2012-08-07 -11.70
2012-08-08 -14.87
2012-08-09 -15.53
2012-08-10 -17.28
2012-08-11 -18.38
2012-08-12 -14.89
2012-08-13 -14.86
2012-08-14 -15.08
2012-08-15 -23.16
2012-08-16 -21.48
2012-08-17 -12.75
2012-08-18 -17.49
2012-08-19 -19.83
2012-08-20 -22.06
2012-08-21 -18.74
2012-08-22 -20.76
2012-08-23 -9.19
2012-08-24 -22.84
2012-08-25 -24.37
2012-08-26 -16.19
2012-08-27 -25.79
2012-08-28 -16.46
2012-08-29 -14.15
2012-08-30 -21.49
2012-08-31 -18.78
2012-09-01 -17.94
2012-09-02 -23.34
2012-09-03 -24.51
2012-09-04 -6.88
2012-09-05 -24.34
2012-09-06 -24.49
2012-09-07 -24.01
2012-09-08 -18.10
2012-09-09 -15.13
2012-09-10 -7.17
2012-09-11 -18.73
2012-09-12 -30.20
2012-09-13 -23.33
2012-09-14 -22.77
2012-09-15 -20.41
2012-09-16 -23.06
2012-09-17 -22.43
2012-09-18 -24.06
2012-09-19 -27.27
2012-09-20 -29.21
2012-09-21 -24.41
2012-09-22 -12.55
2012-09-23 -24.75
2012-09-24 -17.86
2012-09-25 -20.64
2012-09-26 -25.94
2012-09-27 -23.40
2012-09-28 -16.52
2012-09-29 -18.91
2012-09-30 -18.53
2012-10-01 -23.76
2012-10-02 -22.00
2012-10-03 -22.26
2012-10-04 -14.60
2012-10-05 -15.85
2012-10-06 -20.02
2012-10-07 -22.13
2012-10-08 -21.09
2012-10-09 -16.50
2012-10-10 -18.39
2012-10-11 -20.65
2012-10-12 -17.25
2012-10-13 -16.71
2012-10-14 -17.49
2012-10-15 -19.51
2012-10-16 -23.37
2012-10-17 -25.52
2012-10-18 -23.47
2012-10-19 -22.53
2012-10-20 -28.42
2012-10-21 -22.52
2012-10-22 -15.05
2012-10-23 -20.11
2012-10-24 -19.07
2012-10-25 -18.00
2012-10-26 -12.73
2012-10-27 -11.47
2012-10-28 -0.90
2012-10-29 -21.73
2012-10-30 -0.76
2012-10-31 -11.88
2012-11-01 -17.88
2012-11-02 -15.86
2012-11-03 -9.30
2012-11-04 -12.90
2012-11-05 -15.20
2012-11-06 -15.23
2012-11-07 -3.08
2012-11-09 -12.21
2012-11-10 -14.17
2012-11-11 -12.15
2012-11-12 -12.73
2012-11-13 -7.27
2012-11-14 -14.00
2012-11-15 -16.74
2012-11-16 -20.44
2012-11-17 -14.41
2012-11-18 -13.90
2012-11-19 -18.13
2012-11-20 -13.69
2012-11-21 -11.35
2012-11-22 -10.78
2012-11-23 -11.48
2012-11-24 -9.76
2012-11-25 -11.87
2012-11-26 -15.73
2012-11-27 -11.33
2012-11-28 -7.16
2012-11-29 -9.99
2012-11-30 -2.49
2012-12-01 -7.73
2012-12-02 -9.90
2012-12-03 -9.02
2012-12-04 -13.11
2012-12-05 -9.05
2012-12-06 -11.31
2012-12-07 -9.97
2012-12-08 -6.73
2012-12-09 -6.27
2012-12-10 -11.74
2012-12-11 -10.02
2012-12-12 -8.03
2012-12-13 -7.97
2012-12-14 -10.77
2012-12-15 -10.40
2012-12-16 -10.58
2012-12-17 -6.56
2012-12-18 -7.18
2012-12-19 -0.36
2012-12-20 -3.36
2012-12-21 -4.21
2012-12-22 -6.04
2012-12-23 -12.96
2012-12-24 -4.35
2012-12-25 -8.29
2012-12-26 -9.78
2012-12-27 -7.65
2012-12-28 -9.87
2012-12-29 -11.00
2012-12-30 -7.33
2013-01-01 -11.45
2013-01-02 -8.14
2013-01-03 -20.05
2013-01-04 -6.79
2013-01-05 -5.93
2013-01-06 -4.02
2013-01-07 -10.35
2013-01-08 -0.94
2013-01-09 -4.27
2013-01-10 -1.75
2013-01-11 -0.03
2013-01-12 -1.90
2013-01-13 0.46
2013-01-14 -3.03
2013-01-15 -4.87
2013-01-16 -4.66
2013-01-17 -3.95
2013-01-18 -4.76
2013-01-19 -7.26
2013-01-20 0.36
2013-01-21 -2.78
2013-01-22 -0.80
2013-01-23 -3.04
2013-01-24 -2.54
2013-01-25 -12.17
2013-01-26 -6.02
2013-01-27 -3.34
2013-01-28 -5.65
2013-01-29 -6.46
2013-01-30 -10.83
2013-01-31 -6.57
2013-02-01 -5.50
2013-02-02 -2.10
2013-02-03 0.10
2013-02-04 -3.86
2013-02-05 -4.56
2013-02-06 -5.69
2013-02-07 -1.57
2013-02-08 -7.98
2013-02-09 -0.90
2013-02-10 -4.65
2013-02-11 0.72
2013-02-12 -4.26
2013-02-13 -2.87
2013-02-14 3.92
2013-02-15 -1.23
2013-02-16 1.11
2013-02-17 1.96
2013-02-18 -1.59
2013-02-19 -2.89
2013-02-20 -3.01
2013-02-21 -4.76
2013-02-22 -1.30
2013-02-23 1.28
2013-02-24 -2.38
2013-02-25 -3.58
2013-02-26 1.57
2013-02-27 -0.58
2013-02-28 8.32
2013-03-01 0.67
2013-03-02 -6.64
2013-03-03 0.23
2013-03-04 -4.90
2013-03-05 -4.82
2013-03-06 -5.22
2013-03-07 -6.00
2013-03-08 -9.40
2013-03-09 -2.79
2013-03-10 0.38
2013-03-11 -4.16
2013-03-12 -8.59
2013-03-13 -9.55
2013-03-14 -11.30
2013-03-15 -4.90
2013-03-16 -11.29
2013-03-17 -3.06
2013-03-18 1.32
2013-03-19 2.47
2013-03-20 -2.44
2013-03-21 0.87
2013-03-22 -0.75
2013-03-23 0.19
2013-03-24 2.91
2013-03-25 2.70
2013-03-26 2.29
2013-03-27 0.16
2013-03-28 1.02
2013-03-29 4.24
2013-03-30 3.80
2013-03-31 0.83
2013-04-01 -0.87
2013-04-02 8.29
2013-04-03 2.17
2013-04-04 5.61
2013-04-05 1.67
2013-04-06 -1.92
2013-04-07 3.19
2013-04-08 10.53
2013-04-09 -2.05
2013-04-10 -0.49
2013-04-11 -2.49
2013-04-12 -8.75
2013-04-13 2.82
2013-04-14 6.88
2013-04-15 10.02
2013-04-17 5.85
2013-04-18 5.05
2013-04-19 5.63
2013-04-20 9.09
2013-04-21 -5.64
2013-04-22 -4.63
2013-04-23 0.16
2013-04-24 2.68
2013-04-25 -0.31
2013-04-26 0.23
2013-04-27 4.93
2013-04-28 7.84
2013-04-29 1.71
2013-04-30 11.49
2013-05-01 3.31
2013-05-02 -2.51
2013-05-03 6.17
2013-05-04 3.55
2013-05-05 0.10
2013-05-06 2.19
2013-05-07 1.23
2013-05-08 3.53
2013-05-09 -0.71
2013-05-10 -0.99
2013-05-11 2.68
2013-05-12 8.74
2013-05-13 7.62
2013-05-14 6.92
2013-05-15 2.06
2013-05-16 5.13
2013-05-17 -0.64
2013-05-18 -3.86
2013-05-19 10.00
2013-05-20 -0.26
2013-05-21 -0.25
2013-05-22 9.82
2013-05-23 6.35
2013-05-24 -0.73
2013-05-25 1.53
2013-05-26 2.60
2013-05-27 -0.55
2013-05-28 1.45
2013-05-29 -3.67
2013-05-30 9.52
2013-05-31 -3.36
2013-06-01 2.89
2013-06-02 4.97
2013-06-03 -7.74
2013-06-04 1.79
2013-06-05 2.74
2013-06-06 7.12
2013-06-07 5.26
2013-06-08 1.19
2013-06-09 -0.87
2013-06-10 2.92
2013-06-11 -0.20
2013-06-12 -2.02
2013-06-13 9.01
2013-06-14 4.09
2013-06-15 12.40
2013-06-16 18.41
2013-06-17 12.10
2013-06-18 3.08
2013-06-19 5.81
2013-06-20 1.76
2013-06-21 6.83
2013-06-22 11.43
2013-06-23 0.32
2013-06-24 12.16
2013-06-25 -2.55
2013-06-26 1.44
2013-06-27 -0.96
2013-06-28 3.33
2013-06-29 -1.04
2013-06-30 2.55
2013-07-01 11.28
2013-07-02 -1.21
2013-07-03 2.53
2013-07-04 1.09
2013-07-05 -2.05
2013-07-06 -6.64
2013-07-07 -3.46
2013-07-08 -8.37
2013-07-09 -4.37
2013-07-10 -6.43
2013-07-11 -9.37
2013-07-12 -10.70
2013-07-13 -12.00
2013-07-14 1.57
2013-07-15 -1.17
2013-07-16 -11.29
2013-07-17 -2.01
2013-07-18 -13.32
2013-07-19 -10.56
2013-07-21 -0.63
2013-07-22 -2.69
2013-07-23 -3.70
2013-07-24 -7.68
2013-07-25 -4.55
2013-07-26 -11.80
2013-07-27 -18.74
2013-07-28 -8.29
2013-07-29 -17.75
2013-07-30 -1.65
2013-07-31 -11.24
2013-08-01 -12.78
2013-08-02 -5.62
2013-08-03 -6.08
2013-08-04 -12.98
2013-08-05 -18.69
2013-08-06 -12.83
2013-08-07 -13.97
2013-08-08 -19.00
2013-08-09 -17.61
2013-08-10 -18.93
2013-08-11 -10.18
2013-08-12 -18.35
2013-08-13 -9.69
2013-08-14 -19.58
2013-08-15 -15.91
2013-08-16 -15.68
2013-08-17 -27.91
2013-08-18 -17.89
2013-08-19 -15.26
2013-08-20 -7.98
2013-08-21 -18.54
2013-08-22 -9.18
2013-08-23 -16.96
2013-08-24 -16.58
2013-08-25 -22.87
2013-08-26 -22.49
2013-08-27 -17.44
2013-08-28 -25.41
2013-08-29 -19.50
2013-08-30 -18.32
2013-08-31 -20.01
2013-09-01 -17.92
2013-09-02 -28.69
2013-09-03 -22.51
2013-09-04 -22.31
2013-09-05 -20.16
2013-09-06 -28.50
2013-09-07 -22.48
2013-09-08 -30.42
2013-09-09 -22.93
2013-09-10 -25.31
2013-09-11 -20.93
2013-09-12 -25.10
2013-09-13 -22.49
2013-09-14 -21.01
2013-09-15 -20.29
2013-09-16 -21.51
2013-09-17 -24.95
2013-09-18 -26.05
2013-09-19 -26.08
2013-09-20 -22.56
2013-09-21 -25.57
2013-09-22 -20.53
2013-09-23 -21.30
2013-09-24 -25.65
2013-09-25 -23.27
2013-09-26 -22.24
2013-09-27 -22.05
2013-09-28 -23.64
2013-09-29 -16.20
2013-09-30 -20.79
2013-10-01 -26.03
2013-10-02 -21.57
2013-10-03 -16.54
2013-10-04 -17.92
2013-10-05 -20.33
2013-10-06 -14.61
2013-10-07 -20.27
2013-10-08 -25.59
2013-10-09 -19.13
2013-10-10 -26.10
2013-10-11 -22.19
2013-10-12 -18.39
2013-10-13 -14.82
2013-10-14 -15.73
2013-10-15 -19.33
2013-10-16 -19.19
2013-10-17 -21.67
2013-10-18 -16.99
2013-10-19 -19.00
2013-10-20 -18.08
2013-10-22 -26.56
2013-10-23 -23.93
2013-10-24 -22.19
2013-10-25 -23.22
2013-10-28 -22.72
2013-10-30 -17.64
2013-10-31 -17.49
2013-11-01 -10.78
2013-11-02 -21.29
2013-11-03 -22.95
2013-11-04 -24.84
2013-11-05 -15.60
2013-11-06 -19.73
2013-11-07 -20.61
2013-11-08 -20.67
